time,phb_gl,phb_sd,ace_mm,ace_sd,pi_mm,pi_sd,biom_gl,biom_sd
0,0.000749,0.004,65.39557018,6.54,0.010194202,0.00101942,0.002832876,0.00581258
2.5,,,65.30604858,6.53,0.009590619,0.000959062,,
4,,,65.55351142,6.56,0.006732142,7.50E-04,,
6,,,59.65448609,5.97,0.001812373,0.000181237,,
7.166666667,0.00462,0.00154,65.19211129,6.52,0.002250824,0.000225082,0.017133571,0.002765182
8.916666667,0.0132,0.00776,62.39903625,6.24,0.001778208,0.000283968,0.019159594,0.005799854
10.41666667,0.0192,0.00815,61.69493501,0.664,0.001613076,0.000279653,0.019400427,0.00553702
13,0.0377,0.004,60.47159256,0.654,0.001909174,0.00034222,0.03429474,0.003429474
15.08333333,0.0577,0.00895,60.16073345,6.02,0.00155044,0.000188167,0.031676391,0.006882146
18,0.0751,0.004,59.51126412,5.95,0.002062916,0.000245378,0.03759763,0.003759763
24,0.108,0.0283,55.82000748,5.58,0.001954727,0.000266838,0.049692842,0.020023813
